Team,Wins,Losses,Draws,Win %
Titans,13,3,0,813
Giants,12,4,0,750
Steelers,12,4,0,750
Panthers,12,4,0,750
Colts,12,4,0,750
Ravens,11,5,0,688
Patriots,11,5,0,688
Falcons,11,5,0,688
Dolphins,11,5,0,688
Vikings,10,6,0,625
Eagles,9,6,1,594
Jets,9,7,0,563
Buccaneers,9,7,0,563
Bears,9,7,0,563
Cardinals,9,7,0,563
Cowboys,9,7,0,563
Chargers,8,8,0,500
Saints,8,8,0,500
Texans,8,8,0,500
Redskins,8,8,0,500
Broncos,8,8,0,500
Bills,7,9,0,438
49ers,7,9,0,438
Packers,6,10,0,375
Jaguars,5,11,0,313
Raiders,5,11,0,313
Bengals,4,11,1,281
Seahawks,4,12,0,250
Browns,4,12,0,250
Chiefs,2,14,0,125
Rams,2,14,0,125
Lions,0,16,0,0
