Round,Pick,Player,Name,Team,Position,College
1,1,1,Cam Newton,Panthers,QB,Auburn
1,2,2,Von Miller,Broncos,LB,Texas A&M
1,3,3,Marcell Dareus,Bills,DT,Alabama
1,4,4,A.J. Green,Bengals,WR,Georgia
1,5,5,Patrick Peterson,Cardinals,DB,Louisiana State
1,6,6,Julio Jones,Falcons,WR,Alabama
1,7,7,Aldon Smith,49ers,DE,Missouri
1,8,8,Jake Locker,Titans,QB,Washington
1,9,9,Tyron Smith,Cowboys,T,USC
1,10,10,Blaine Gabbert,Jaguars,QB,Missouri
1,11,11,J.J. Watt,Texans,DE,Wisconsin
1,12,12,Christian Ponder,Vikings,QB,Florida State
1,13,13,Nick Fairley,Lions,DT,Auburn
1,14,14,Robert Quinn,Rams,DE,North Carolina
1,15,15,Mike Pouncey,Dolphins,G,Florida
1,16,16,Ryan Kerrigan,Redskins,LB,Purdue
1,17,17,Nate Solder,Patriots,T,Colorado
1,18,18,Corey Liuget,Chargers,DT,Illinois
1,19,19,Prince Amukamara,Giants,DB,Nebraska
1,20,20,Adrian Clayborn,Buccaneers,DE,Iowa
1,21,21,Phil Taylor,Browns,DT,Baylor
1,22,22,Anthony Castonzo,Colts,T,Boston College
1,23,23,Danny Watkins,Eagles,G,Baylor
1,24,24,Cameron Jordan,Saints,DE,California
1,25,25,James Carpenter,Seahawks,T,Alabama
1,26,26,Jon Baldwin,Chiefs,WR,Pittsburgh
1,27,27,Jimmy Smith,Ravens,DB,Colorado
1,28,28,Mark Ingram,Saints,RB,Alabama
1,29,29,Gabe Carimi,Bears,T,Wisconsin
1,30,30,Muhammad Wilkerson,Jets,DT,Temple
1,31,31,Cameron Hayward,Steelers,DE,Ohio State
1,32,32,Derek Sherrod,Packers,T,Mississippi State
2,1,33,Ras-I Dowling,Patriots,DB,Virginia
2,2,34,Aaron Williams,Bills,DB,Texas
2,3,35,Andy Dalton,Bengals,QB,Texas Christian
2,4,36,Colin Kaepernick,49ers,QB,Nevada
2,5,37,Jabaal Sheard,Browns,DE,Pittsburgh
2,6,38,Ryan Williams,Cardinals,RB,Virginia Tech
2,7,39,Akeem Ayers,Titans,LB,UCLA
2,8,40,Bruce Carter,Cowboys,LB,North Carolina
2,9,41,Jarvis Jenkins,Redskins,DT,Clemson
2,10,42,Brooks Reed,Texans,DE,Arizona
2,11,43,Kyle Rudolph,Vikings,TE,Notre Dame
2,12,44,Titus Young,Lions,WR,Boise State
2,13,45,Rahim Moore,Broncos,DB,UCLA
2,14,46,Orlando Franklin,Broncos,T,Miami (FL)
2,15,47,Lance Kendricks,Rams,TE,Wisconsin
2,16,48,Stefan Wisniewki,Raiders,C,Penn State
2,17,49,Benjamin Ijalana,Colts,T,Villanova
2,18,50,Marcus Gilchrist,Chargers,DB,Clemson
2,19,51,Da'Quan Bowers,Buccaneers,DE,Clemson
2,20,52,Marvin Austin,Giants,DT,North Carolina
2,21,53,Stephen Paea,Bears,DT,Oregon State
2,22,54,Jaiquawn Jarrett,Eagles,DB,Temple
2,23,55,Rodney Hudson,Chiefs,C,Florida State
2,24,56,Shane Vereen,Patriots,RB,California
2,25,57,Mikel Leshoure,Lions,RB,Illinois
2,26,58,Torrey Smith,Ravens,WR,Maryland
2,27,59,Greg Little,Browns,WR,North Carolina
2,28,60,Brandon Harris,Texans,DB,Miami (FL)
2,29,61,Jonas Mouton,Chargers,LB,Michigan
2,30,62,Daniel Thomas,Dolphins,RB,Kansas State
2,31,63,Marcus Gilbert,Steelers,T,Florida
2,32,64,Randall Cobb,Packers,WR,Kentucky
3,1,65,Terrell McClain,Panthers,DT,South Florida
3,2,66,Dontay Moch,Bengals,LB,Nevada
3,3,67,Nate Irving,Broncos,LB,North Carolina State
3,4,68,Kelvin Sheppard,Bills,LB,Louisiana State
3,5,69,Robert Housler,Cardinals,TE,Florida Atlantic
3,6,70,Justin Houston,Chiefs,DE,Georgia
3,7,71,Demarco Murray,Cowboys,RB,Oklahoma
3,8,72,Martez Wilson,Saints,LB,Illinois
3,9,73,Stevan Ridley,Patriots,RB,Louisiana State
3,10,74,Ryan Mallett,Patriots,QB,Arkansas
3,11,75,John Moffitt,Seahawks,G,Wisconsin
3,12,76,William Rackley,Jaguars,G,Lehigh
3,13,77,Jurrell Casey,Titans,DT,USC
3,14,78,Austin Pettis,Rams,WR,Boise State
3,15,79,Leonard Hankerson,Redskins,WR,Miami (FL)
3,16,80,Chris Culliver,49ers,DB,South Carolina
3,17,81,Demarcus Van Dyke,Raiders,DB,Miami (FL)
3,18,82,Vincent Brown,Chargers,WR,San Diego State
3,19,83,Jerrel Jernigan,Giants,WR,Troy
3,20,84,Mason Foster,Buccaneers,LB,Washington
3,21,85,Jah Reid,Ravens,T,Central Florida
3,22,86,Allen Bailey,Chiefs,DE,Miami (FL)
3,23,87,Drake Nevis,Colts,DT,Louisiana State
3,24,88,Johnny Patrick,Saints,DB,Louisville
3,25,89,Shareece Wright,Chargers,DB,USC
3,26,90,Curtis Marsh,Eagles,DB,Utah State
3,27,91,Akeem Dent,Falcons,LB,Georgia
3,28,92,Joseph Barksdale,Raiders,T,Louisiana State
3,29,93,Chris Conte,Bears,DB,California
3,30,94,Kenrick Ellis,Jets,DT,Hampton
3,31,95,Curtis Brown,Steelers,DB,Texas
3,32,96,Alex Green,Packers,RB,Hawaii
3,33,97,Slone Fua,Panthers,DT,Stanford
4,1,98,Brandon Hogan,Panthers,DB,West Virginia
4,2,99,K.J. Wright,Seahawks,LB,Mississippi State
4,3,100,Da'Norris Searcy,Bills,DB,North Carolina
4,4,101,Clint Boling,Bengals,G,Georgia
4,5,102,Jordan Cameron,Browns,TE,USC
4,6,103,Sam Acho,Cardinals,LB,Texas
4,7,104,Luke Stocker,Buccaneers,TE,Tennessee
4,8,105,Roy Helu,Redskins,RB,Nebraska
4,9,106,Christian Ballard,Vikings,DT,Iowa
4,10,107,Kris Durham,Seahawks,WR,Georgia
4,11,108,Quinton Carter,Broncos,DB,Oklahoma
4,12,109,Colin McCarthy,Titans,LB,Miami (FL)
4,13,110,David Arking,Cowboys,G,Missouri State
4,14,111,Edmond Gates,Dolphins,WR,Abilene Christian
4,15,112,Greg Salas,Rams,WR,Hawaii
4,16,113,Chimdi Chekwa,Raiders,DB,Ohio State
4,17,114,Cecil Shorts,Jaguars,WR,Mount Union
4,18,115,Kendall Hunter,49ers,RB,Oklahoma State
4,19,116,Casey Matthews,Eagles,LB,Oregon
4,20,117,James Brewer,Giants,T,Indiana
4,21,118,Jalil Brown,Chiefs,DB,Colorado
4,22,119,Delone Carter,Colts,RB,Syracuse
4,23,120,Alex Henery,Eagles,K,Nebraska
4,24,121,Chris Prosinski,Jaguars,DB,Wyoming
4,25,122,Chris Hairston,Bills,T,Clemson
4,26,123,Tandon Doss,Ravens,WR,Indiana
4,27,124,Owen Marecic,Browns,RB,Stanford
4,28,125,Taiwan Jones,Raiders,RB,Eastern Washington
4,29,126,Bilal Powell,Jets,RB,Louisville
4,30,127,Rashad Carmichael,Texans,DB,Virginia Tech
4,31,128,Cortez Allen,Steelers,DB,Citadel
4,32,129,Julius Thomas,Broncos,TE,Portland State
4,33,130,Jamie Harper,Titans,RB,Clemson
4,34,131,Davon House,Packers,DB,New Mexico State
5,1,132,Kealoha Pilares,Panthers,WR,Hawaii
5,2,133,Johnny White,Bills,RB,North Carolina
5,3,134,Robert Sands,Bengals,DB,West Virginia
5,4,135,Ricky Stanzi,Chiefs,QB,Iowa
5,5,136,Anthony Sherman,Cardinals,RB,Connecticut
5,6,137,Buster Skrine,Browns,DB,Tennessee-Chattanooga
5,7,138,Marcus Cannon,Patriots,T,Texas Christian
5,8,139,Brandon Burton,Vikings,DB,Utah
5,9,140,Gabe Miller,Chiefs,LB,Oregon State
5,10,141,D.J. Williams,Packers,TE,Arkansas
5,11,142,Karl Klug,Titans,DT,Iowa
5,12,143,Josh Thomas,Cowboys,DB,Buffalo
5,13,144,Shiloh Keo,Texans,DB,Idaho
5,14,145,Jacquizz Rodgers,Falcons,RB,Oregon State
5,15,146,Dejon Gomes,Redskins,DB,Nebraska
5,16,147,Rod Isaac,Jaguars,DB,Middle Tennessee State
5,17,148,Denarius Moore,Raiders,WR,Tennessee
5,18,149,Dion Lewis,Eagles,RB,Pittsburgh
5,19,150,Jason Pinkston,Browns,T,Pittsburgh
5,20,151,Ahmad Black,Buccaneers,DB,Florida
5,21,152,T.J. Yates,Texans,QB,North Carolina
5,22,153,Jeremy Kerley,Jets,WR,Texas Christian
5,23,154,Richard Sherman,Seahawks,DB,Stanford
5,24,155,Niles Paul,Redskins,WR,Nebraska
5,25,156,Mark Legree,Seahawks,DB,Appalachian State
5,26,157,Douglas Hogue,Lions,LB,Syracuse
5,27,158,Jermale Hines,Rams,DB,Ohio State
5,28,159,Lee Smith,Patriots,TE,Marshall
5,29,160,Nathan Enderle,Bears,QB,Idaho
5,30,161,Julian Vandervele,Eagles,G,Iowa
5,31,162,Chris Carter,Steelers,LB,Fresno State
5,32,163,Daniel Kilgore,49ers,G,Appalachian State
5,33,164,Chykie Brown,Ravens,DB,Texas
5,34,165,Pernell McPhee,Ravens,DE,Mississippi State
6,1,166,Lawrence Wilson,Panthers,LB,Connecticut
6,2,167,Ryan Whelan,Bengals,WR,Stanford
6,3,168,Demarcus Love,Vikings,G,Arkansas
6,4,169,Chris White,Bills,LB,Mississippi State
6,5,170,Mistral Raymond,Vikings,DB,South Florida
6,6,171,Quan Sturdivant,Cardinals,LB,North Carolina
6,7,172,Brandon Fusco,Vikings,C,Slippery Rock
6,8,173,Byron Maxwell,Seahawks,DB,Clemson
6,9,174,Charles Clay,Dolphins,TE,Tulsa
6,10,175,Byron Stingily,Titans,T,Louisville
6,11,176,Dwayne Harris,Cowboys,WR,East Carolina
6,12,177,Evan Royster,Redskins,RB,Penn State
6,13,178,Aldrick Robinson,Redskins,WR,Southern Methodist
