Team,Wins,Losses,Draws,Win %
Broncos,13,3,0,813
Seahawks,13,3,0,813
49ers,12,4,0,750
Panthers,12,4,0,750
Patriots,12,4,0,750
Bengals,11,5,0,688
Chiefs,11,5,0,688
Saints,11,5,0,688
Colts,11,5,0,688
Eagles,10,6,0,625
Cardinals,10,6,0,625
Chargers,9,7,0,563
Packers,8,7,1,531
Steelers,8,8,0,500
Cowboys,8,8,0,500
Dolphins,8,8,0,500
Ravens,8,8,0,500
Bears,8,8,0,500
Jets,8,8,0,500
Lions,7,9,0,438
Rams,7,9,0,438
Titans,7,9,0,438
Giants,7,9,0,438
Bills,6,10,0,375
Vikings,5,10,1,344
Falcons,4,12,0,250
Browns,4,12,0,250
Buccaneers,4,12,0,250
Raiders,4,12,0,250
Jaguars,4,12,0,250
Redskins,3,13,0,188
Texans,2,14,0,125
