Round,Pick,Player,Name,Team,Position,College
4,36,136,Larry Webster,Lions,DE,Bloomsburg (PA)
4,37,137,Dakota Dozier,Jets,T,Furman
4,38,138,Lorenzo Taliaferro,Ravens,RB,Coastal Carolina
4,39,139,Prince Shembo,Falcons,LB,Notre Dame
4,40,140,Cameron Fleming,Patriots,T,Stanford
5,1,141,Taylor Hart,Eagles,DE,Oregon
5,2,142,Ryan Grant,Redskins,WR,Tulane
5,3,143,Kadeem Edwards,Buccaneers,G,Tennessee State
5,4,144,Telvin Smith,Jaguars,LB,Florida State
5,5,145,David Yankey,Vikings,G,Stanford
5,6,146,Devin Street,Cowboys,WR,Pittsburgh
5,7,147,Ricardo Allen,Falcons,DB,Purdue
5,8,148,Bene Benwikere,Panthers,DB,San Jose State
5,9,149,Kevin Pamphile,Buccaneers,T,Purdue
5,10,150,Aaron Lynch,49ers,DE,South Florida
5,11,151,Avery Williamson,Titans,LB,Kentucky
5,12,152,Nat Berhe,Giants,DB,San Diego State
5,13,153,Cyril Richardson,Bills,G,Baylor
5,14,154,Jeremiah George,Jets,LB,Iowa State
5,15,155,Arthur Lynch,Dolphins,TE,Georgia
5,16,156,Lamin Barrow,Broncos,LB,Louisiana State
5,17,157,Shaquille Richardson,Steelers,DB,Arizona
5,18,158,Caraun Reid,Lions,DT,Princeton
5,19,159,Chris Smith,Jaguars,DE,Arkansas
5,20,160,Ed Stinson,Cardinals,DE,Alabama
5,21,161,Corey Linsley,Packers,C,Ohio State
5,22,162,Ed Reynolds,Eagles,DB,Stanford
5,23,163,Aaron Murray,Chiefs,QB,Georgia
5,24,164,AJ McCarron,Bengals,QB,Alabama
5,25,165,Ryan Carrethers,Chargers,DT,Arkansas State
5,26,166,Jonathan Newsome,Colts,DE,Ball State
5,27,167,Vinnie Sunseri,Saints,DB,Alabama
5,28,168,Marquis Spruill,Falcons,LB,Syracuse
5,29,169,Ronald Powell,Saints,LB,Florida
5,30,170,Keith Reaser,49ers,DB,Florida Atlantic
5,31,171,Jordan Tripp,Dolphins,LB,Montana
5,32,172,Jimmy Staten,Seahawks,DT,Middle Tennessee State
5,33,173,Wesley Johnson,Steelers,T,Vanderbilt
5,34,174,Devon Kennard,Giants,LB,USC
5,35,175,John Urschel,Ravens,G,Penn State
5,36,176,Jared Abbrederis,Packers,WR,Wisconsin
6,1,177,Jeoffrey Pagan,Texans,DE,Alabama
6,2,178,Zach Mettenberger,Titans,QB,Louisiana State
6,3,179,Jon Halapio,Patriots,G,Florida
6,4,180,Kenneth Acker,49ers,DB,Southern Methodist
6,5,181,Alfred Blue,Texans,RB,Louisiana State
6,6,182,Antone Exum,Vikings,DB,Virginia Tech
6,7,183,David Fales,Bears,QB,San Jose State
6,8,184,Kendall James,Vikings,DB,Maine
6,9,185,Robert Herron,Buccaneers,WR,Wyoming
6,10,186,Lache Seastrunk,Redskins,RB,Baylor
6,11,187,Bennett Jackson,Giants,DB,Notre Dame
6,12,188,E.J. Gaines,Rams,DB,Missouri
6,13,189,T.J. Jones,Lions,WR,Notre Dame
6,14,190,Matt Hazel,Dolphins,WR,Coastal Carolina
6,15,191,Pat O'Donnell,Bears,P,Miami (FL)
6,16,192,Jordan Zumwalt,Steelers,LB,UCLA
6,17,193,Zach Fulton,Chiefs,G,Tennessee
6,18,194,Keith Wenning,Ravens,QB,Ball State
6,19,195,Brandon Dixon,Jets,DB,Northwest Missouri State
6,20,196,Walt Powell,Cardinals,WR,Murray State
6,21,197,Demetri Goodson,Packers,DB,Baylor
6,22,198,Zach Moore,Patriots,DE,Concordia (MN)
6,23,199,Garrett Scott,Seahawks,T,Marshall
6,24,200,Laurent Duvernay-Tardif,Chiefs,T,McGill
6,25,201,Marion Grice,Chargers,RB,Arizona State
6,26,202,Tavon Rooks,Saints,T,Kansas State
6,27,203,Andrew Jackson,Colts,LB,Western Kentucky
6,28,204,Tyler Gaffney,Panthers,RB,Stanford
6,29,205,Luke Bowanko,Jaguars,C,Virginia
6,30,206,Jemea Thomas,Patriots,DB,Georgia Tech
6,31,207,Matthew Paradis,Broncos,C,Boise State
6,32,208,Eric Pinkins,Seahawks,DB,San Diego State
6,33,209,Quincy Enunwa,Jets,WR,Nebraska
6,34,210,IK Enemkpali,Jets,DE,Louisiana Tech
6,35,211,Jay Prosch,Texans,RB,Auburn
6,36,212,Marquis Flowers,Bengals,LB,Arizona
