Round,Pick,Player,Name,Team,Position,College
1,1,1,Andrew Luck,Colts,QB,Stanford
1,2,2,Robert Griffin III,Redskins,QB,Baylor
1,3,3,Trent Richardson,Browns,RB,Alabama
1,4,4,Matt Kalil,Vikings,T,USC
1,5,5,Justin Blackmon,Jaguars,WR,Oklahoma State
1,6,6,Morris Claiborne,Cowboys,DB,Louisiana State
1,7,7,Mark Barron,Buccaneers,DB,Alabama
1,8,8,Ryan Tannehill,Dolphins,QB,Texas A&M
1,9,9,Luke Kuechly,Panthers,LB,Boston College
1,10,10,Stephon Gilmore,Bills,DB,South Carolina
1,11,11,Dontari Poe,Chiefs,DT,Memphis
1,12,12,Fletcher Cox,Eagles,DT,Mississippi State
1,13,13,Michael Floyd,Cardinals,WR,Notre Dame
1,14,14,Michael Brockers,Rams,DT,Louisiana State
1,15,15,Bruce Irvin,Seahawks,DE,West Virginia
1,16,16,Quinton Coples,Jets,DE,North Carolina
1,17,17,Dre Kirkpatrick,Bengals,DB,Alabama
1,18,18,Melvin Ingram,Chargers,DE,South Carolina
1,19,19,Shea McClellin,Bears,DE,Boise State
1,20,20,Kendall Wright,Titans,WR,Baylor
1,21,21,Chandler Jones,Patriots,DE,Syracuse
1,22,22,Brandon Weeden,Browns,QB,Oklahoma State
1,23,23,Riley Reiff,Lions,T,Iowa
1,24,24,David DeCastro,Steelers,G,Stanford
1,25,25,Dont'a Hightower,Patriots,LB,Alabama
1,26,26,Whitney Mercilus,Texans,DE,Illinois
1,27,27,Kevin Zeitler,Bengals,G,Wisconsin
1,28,28,Nick Perry,Packers,DE,USC
1,29,29,Harrison Smith,Vikings,DB,Notre Dame
1,30,30,A.J. Jenkins,49ers,WR,Illinois
1,31,31,Doug Martin,Buccaneers,RB,Boise State
1,32,32,David Wilson,Giants,RB,Virginia Tech
2,1,33,Brian Quick,Rams,WR,Appalachian State
2,2,34,Coby Fleener,Colts,TE,Stanford
2,3,35,Courtney Upshaw,Ravens,LB,Alabama
2,4,36,Derek Wolfe,Broncos,DT,Cincinnati
2,5,37,Mitchell Schwartz,Browns,T,California
2,6,38,Andre Branch,Jaguars,DE,Clemson
2,7,39,Janoris Jenkins,Rams,DB,North Alabama
2,8,40,Amini Silatolu,Panthers,T,Midwestern State (TX)
2,9,41,Cordy Glenn,Bills,T,Georgia
2,10,42,Jonathan Martin,Dolphins,T,Stanford
2,11,43,Stephen Hill,Jets,WR,Georgia Tech
2,12,44,Jeff Allen,Chiefs,T,Illinois
2,13,45,Alshon Jeffery,Bears,WR,South Carolina
2,14,46,Mychal Kendricks,Eagles,LB,California
2,15,47,Bobby Wagner,Seahawks,LB,Utah State
2,16,48,Tavon Wilson,Patriots,DB,Illinois
2,17,49,Kendall Reyes,Chargers,DT,Connecticut
2,18,50,Isaiah Pead,Rams,RB,Cincinnati
2,19,51,Jerel Worthy,Packers,DT,Michigan State
2,20,52,Zach Brown,Titans,LB,North Carolina
2,21,53,Devon Still,Bengals,DT,Penn State
2,22,54,Ryan Broyles,Lions,WR,Oklahoma
2,23,55,Peter Konz,Falcons,C,Wisconsin
2,24,56,Mike Adams,Steelers,T,Ohio State
2,25,57,Brock Osweiler,Broncos,QB,Arizona State
2,26,58,Lavonte David,Buccaneers,LB,Nebraska
2,27,59,Vinny Curry,Eagles,DE,Marshall
2,28,60,Kelechi Osemele,Ravens,T,Iowa State
2,29,61,LaMichael James,49ers,RB,Oregon
2,30,62,Casey Hayward,Packers,DB,Vanderbilt
2,31,63,Rueben Randle,Giants,WR,Louisiana State
3,1,64,Dwayne Allen,Colts,TE,Clemson
3,2,65,Trumaine Johnson,Rams,DB,Montana
3,3,66,Josh Robinson,Vikings,DB,Central Florida
3,4,67,Ronnie Hillman,Broncos,RB,San Diego State
3,5,68,Devier Posey,Texans,WR,Ohio State
3,6,69,T.J. Graham,Bills,WR,North Carolina State
3,7,70,Bryan Anger,Jaguars,P,California
3,8,71,Josh Leribeus,Redskins,G,Southern Methodist
3,9,72,Olivier Vernon,Dolphins,DE,Miami (FL)
3,10,73,Brandon Taylor,Chargers,DB,Louisiana State
3,11,74,Donald Stephenson,Chiefs,T,Oklahoma
3,12,75,Russell Wilson,Seahawks,QB,Wisconsin
3,13,76,Brandon Brooks,Texans,G,Miami (OH)
3,14,77,Demario Davis,Jets,LB,Arkansas State
3,15,78,Michael Egnew,Dolphins,TE,Missouri
3,16,79,Brandon Hardin,Bears,DB,Oregon State
3,17,80,Jamell Fleming,Cardinals,DB,Oklahoma
3,18,81,Tyrone Crawford,Cowboys,DE,Boise State
3,19,82,Mike Martin,Titans,DT,Michigan
3,20,83,Mohamed Sanu,Bengals,WR,Rutgers
3,21,84,Bernard Pierce,Ravens,RB,Temple
3,22,85,Dwight Bentley,Lions,DB,Louisiana-Lafayette
3,23,86,Sean Spence,Steelers,LB,Miami (FL)
3,24,87,John Hughes,Browns,DT,Cincinnati
3,25,88,Nick Foles,Eagles,QB,Arizona
3,26,89,Akiem Hicks,Saints,DE,Regina
3,27,90,Jake Bequette,Patriots,DE,Arkansas
3,28,91,Lamar Holmes,Falcons,T,Southern Mississippi
3,29,92,T.Y. Hilton,Colts,WR,Florida International
3,30,93,Brandon Thompson,Bengals,DT,Clemson
3,31,94,Jayron Hosley,Giants,DB,Virginia Tech
3,32,95,Tony Bergstrom,Raiders,G,Utah
4,1,96,Chris Givens,Rams,WR,Wake Forest
4,2,97,Lamar Miller,Dolphins,RB,Miami (FL)
4,3,98,Gino Gradkowski,Ravens,G,Delaware
4,4,99,Ben Jones,Texans,C,Georgia
4,5,100,Travis Benjamin,Browns,WR,Miami (FL)
4,6,101,Omar Bolden,Broncos,DB,Arizona State
4,7,102,Kirk Cousins,Redskins,QB,Michigan State
4,8,103,Frank Alexander,Panthers,DE,Oklahoma
4,9,104,Joe Adams,Panthers,WR,Arkansas
4,10,105,Nigel Bradham,Bills,LB,Florida State
4,11,106,Robert Turbin,Seahawks,RB,Utah State
4,12,107,Devon Wylie,Chiefs,WR,Fresno State
4,13,108,Philip Blake,Broncos,C,Baylor
4,14,109,Alameda Ta'amu,Steelers,DT,Washington
4,15,110,Ladarius Green,Chargers,TE,Louisiana-Lafayette
4,16,111,Evan Rodriguez,Bears,TE,Temple
4,17,112,Bobby Massie,Cardinals,T,Mississippi
4,18,113,Kyle Wilber,Cowboys,LB,Wake Forest
4,19,114,Jaye Howard,Seahawks,DT,Florida
4,20,115,Coty Sensabaugh,Titans,DB,Clemson
4,21,116,Orson Charles,Bengals,TE,Georgia
4,22,117,Joe Looney,49ers,G,Wake Forest
4,23,118,Jarius Wright,Vikings,WR,Arkansas
4,24,119,Keenan Robinson,Redskins,LB,Texas
4,25,120,James-Michael Johnson,Browns,LB,Nevada
4,26,121,Keshawn Martin,Texans,WR,Michigan State
4,27,122,Nick Toon,Saints,WR,Wisconsin
4,28,123,Brandon Boykin,Eagles,DB,Georgia
4,29,124,Ron Brooks,Bills,DB,Louisiana State
4,30,125,Ronnell Lewis,Lions,LB,Oklahoma
4,31,126,Jared Crick,Texans,DT,Nebraska
4,32,127,Adrien Robinson,Giants,TE,Cincinnati
4,33,128,Rhett Ellison,Vikings,RB,USC
4,34,129,Miles Burris,Raiders,LB,San Diego State
4,35,130,Christian Thompson,Ravens,DB,South Carolina State
4,36,131,Brandon Mosley,Giants,T,Auburn
4,37,132,Mike Daniels,Packers,DT,Iowa
4,38,133,Jeron McMillian,Packers,DB,Maine
4,39,134,Greg Childs,Vikings,WR,Arkansas
4,40,135,Matt Johnson,Cowboys,DB,Eastern Washington
5,1,136,Josh Chapman,Colts,DT,Alabama
5,2,137,Malik Jackson,Broncos,DT,Tennessee
5,3,138,Tahir Whitehead,Lions,LB,Temple
5,4,139,Robert Blanton,Vikings,DB,Notre Dame
5,5,140,Najee Goode,Buccaneers,LB,West Virginia
5,6,141,Adam Gettis,Redskins,G,Iowa
5,7,142,Brandon Marshall,Jaguars,LB,Nevada
5,8,143,Josh Norman,Panthers,DB,Coastal Carolina
5,9,144,Zebrie Sanders,Bills,T,Florida State
5,10,145,Taylor Thompson,Titans,TE,Southern Methodist
5,11,146,DeQuan Menzie,Chiefs,DB,Alabama
5,12,147,Tank Carder,Bills,LB,Texas Christian
5,13,148,Chris Greenwood,Lions,DB,Albion
5,14,149,Johnnie Troutman,Chargers,G,Penn State
5,15,150,Rokevious Watkins,Rams,T,South Carolina
5,16,151,Senio Kelemete,Cardinals,T,Washington
5,17,152,Danny Coale,Cowboys,WR,Virginia Tech
5,18,153,Dennis Kelly,Eagles,T,Purdue
5,19,154,Korey Toomer,Seahawks,LB,Idaho
5,20,155,Josh Kaddu,Dolphins,LB,Oregon
5,21,156,Shaun Prater,Bengals,DB,Iowa
5,22,157,Bradie Ewing,Falcons,RB,Wisconsin
5,23,158,Jack Crawford,Raiders,DE,Penn State
5,24,159,Chris Rainey,Steelers,RB,Florida
5,25,160,Ryan Miller,Browns,G,Colorado
5,26,161,Randy Bullock,Texans,K,Texas A&M
5,27,162,Corey White,Saints,DB,Samford
5,28,163,Terrell Manning,Packers,LB,North Carolina State
5,29,164,Jonathan Massaquoi,Falcons,DE,Troy
5,30,165,Darius Fleming,49ers,LB,Notre Dame
5,31,166,Marvin Jones,Bengals,WR,California
5,32,167,George Iloka,Bengals,DB,Boise State
5,33,168,Juron Criner,Raiders,WR,Arizona
5,34,169,Asa Jackson,Ravens,DB,Cal Poly
5,35,170,Vick Ballard,Colts,RB,Mississippi State
6,1,171,Greg Zuerlein,Rams,K,Missouri Western
6,2,172,Jeremy Lane,Seahawks,DB,Northwestern State (LA)
6,3,173,Alfred Morris,Redskins,RB,Florida Atlantic
6,4,174,Keith Tandy,Buccaneers,DB,West Virginia
6,5,175,Blair Walsh,Vikings,K,Georgia
6,6,176,Mike Harris,Jaguars,DB,Florida State
6,7,177,Justin Bethel,Cardinals,DB,Presbyterian
6,8,178,Mark Asper,Bills,G,Oregon
6,9,179,Andrew Tiller,Saints,G,Syracuse
6,10,180,Trent Robinson,49ers,DB,Michigan State
6,11,181,Winston Guy,Seahawks,DB,Kentucky
6,12,182,Cyrus Gray,Chiefs,RB,Texas A&M
6,13,183,B.J. Cunningham,Dolphins,WR,Michigan State
6,14,184,Isaiah Frey,Bears,DB,Nevada
6,15,185,Ryan Lindley,Cardinals,QB,San Diego State
6,16,186,James Hanna,Cowboys,TE,Oklahoma
6,17,187,Josh Bush,Jets,DB,Wake Forest
6,18,188,Danny Trevathan,Broncos,LB,Kentucky
6,19,189,Christo Bilukidi,Raiders,DE,Georgia State
6,20,190,Markelle Martin,Titans,DB,Oklahoma State
6,21,191,Dan Herron,Bengals,RB,Ohio State
6,22,192,Charles Mitchell,Falcons,DB,Mississippi State
6,23,193,Tom Compton,Redskins,T,South Dakota
6,24,194,Marvin McNutt,Eagles,WR,Iowa
6,25,195,Nick Mondek,Texans,T,Purdue
6,26,196,Jonte Green,Lions,DB,New Mexico State
6,27,197,Nate Ebner,Patriots,DB,Ohio State
6,28,198,Tommy Streeter,Ravens,WR,Miami (FL)
6,29,199,Jason Slowey,49ers,C,Western Oregon
6,30,200,Brandon Washington,Eagles,G,Miami (FL)
6,31,201,Matt McCants,Giants,T,Alabama-Birmingham
6,32,202,Terrance Ganaway,Jets,RB,Baylor
6,33,203,Robert T. Griffin,Jets,G,Baylor
6,34,204,Emmanuel Acho,Browns,LB,Texas
6,35,205,Billy Winn,Browns,DT,Boise State
6,36,206,LaVon Brazill,Colts,WR,Ohio
6,37,207,Brad Nortman,Panthers,P,Wisconsin
7,1,208,Justin Anderson,Colts,T,Georgia
7,2,209,Aaron Brown,Rams,LB,Hawaii
7,3,210,Audie Cole,Vikings,LB,North Carolina State
7,4,211,Scott Solomon,Titans,DE,Rice
7,5,212,Michael Smith,Buccaneers,RB,Utah State
7,6,213,Richard Crawford,Redskins,DB,Southern Methodist
7,7,214,Tim Fugger,Colts,DE,Vanderbilt
7,8,215,Kheeston Randall,Dolphins,DT,Texas
7,9,216,D.J. Campbell,Panthers,DB,California
7,10,217,Jordan Bernstine,Redskins,DB,Iowa
7,11,218,Jerome Long,Chiefs,DT,San Diego State
7,12,219,Trevor Guyton,Vikings,DE,California
7,13,220,Greg McCoy,Bears,DB,Texas Christian
7,14,221,Nate Potter,Cardinals,T,Boise State
7,15,222,Caleb McSurdy,Cowboys,LB,Montana
7,16,223,Travis Lewis,Lions,LB,Oklahoma
7,17,224,Alfonzo Dennard,Patriots,DB,Nebraska
