Round,Pick,Player,Name,Team,Position,College
2,14,46,Linval Joseph,Giants,DT,East Carolina
2,15,47,Daryl Washington,Cardinals,LB,Texas Christian
2,16,48,Jimmy Clausen,Panthers,QB,Notre Dame
2,17,49,Taylor Mays,49ers,DB,USC
2,18,50,Javier Arenas,Chiefs,DB,Alabama
2,19,51,Toby Gerhart,Vikings,RB,Stanford
2,20,52,Jason Worilds,Steelers,LB,Virginia Tech
2,21,53,Jermaine Cunningham,Patriots,LB,Florida
2,22,54,Carlos Dunlap,Bengals,DE,Florida
2,23,55,Sean Lee,Cowboys,LB,Penn State
2,24,56,Michael Neal,Packers,DT,Purdue
2,25,57,Terrence Cody,Ravens,DT,Alabama
2,26,58,Ben Tate,Texans,RB,Auburn
2,27,59,Montario Hardesty,Browns,RB,Tennessee
2,28,60,Golden Tate,Seahawks,WR,Notre Dame
2,29,61,Vladimir Ducasse,Jets,G,Massachusetts
2,30,62,Brandon Spikes,Patriots,LB,Florida
2,31,63,Patrick Angerer,Colts,LB,Iowa
2,32,64,Charles Brown,Saints,T,USC
3,1,65,Jerome Murphy,Rams,DB,South Florida
3,2,66,Amari Spievey,Lions,DB,Iowa
3,3,67,Myron Lewis,Buccaneers,DB,Vanderbilt
3,4,68,Jon Asamoah,Chiefs,G,Illinois
3,5,69,Jared Veldheer,Raiders,T,Hillsdale
3,6,70,Ed Dickson,Ravens,TE,Oregon
3,7,71,Morgan Burnett,Packers,DB,Georgia Tech
3,8,72,Alex Carrington,Bills,DE,Arkansas State
3,9,73,John Jerry,Dolphins,G,Mississippi
3,10,74,D'Anthony Smith,Jaguars,DT,Louisiana Tech
3,11,75,Major Wright,Bears,DB,Florida
3,12,76,Chad Jones,Giants,DB,Louisiana State
3,13,77,Damian Williams,Titans,WR,USC
3,14,78,Brandon LaFell,Panthers,WR,Louisiana State
3,15,79,Donald Butler,Chargers,LB,Washington
3,16,80,J.D. Walton,Broncos,C,Baylor
3,17,81,Earl Mitchell,Texans,DT,Arizona
3,18,82,Emmanuel Sanders,Steelers,WR,Southern Methodist
3,19,83,Corey Peters,Falcons,DT,Kentucky
3,20,84,Jordan Shipley,Bengals,WR,Texas
3,21,85,Colt McCoy,Browns,QB,Texas
3,22,86,Daniel Te'p-Nesheim,Eagles,DE,Washington
3,23,87,Eric Decker,Broncos,WR,Minnesota
3,24,88,Andre Roberts,Cardinals,WR,Citadel
3,25,89,Armanti Edwards,Panthers,WR,Appalachian State
3,26,90,Taylor Price,Patriots,WR,Ohio
3,27,91,NaVorro Bowman,49ers,LB,Penn State
3,28,92,Shawn Lauvao,Browns,G,Arizona State
3,29,93,Tony Moeaki,Chiefs,TE,Iowa
3,30,94,Kevin Thomas,Colts,DB,USC
3,31,95,Jimmy Graham,Saints,TE,Miami (FL)
3,32,96,Brandon Ghee,Bengals,DB,Wake Forest
3,33,97,Rennie Curran,Titans,LB,Georgia
3,34,98,Mike Johnson,Falcons,G,Alabama
4,1,99,Mardy Gilyard,Rams,WR,Cincinnati
4,2,100,Everson Griffin,Vikings,DE,USC
4,3,101,Mike Williams,Buccaneers,WR,Syracuse
4,4,102,Darryl Sharpton,Texans,LB,Miami (FL)
4,5,103,Perry Riley,Redskins,LB,Louisiana State
4,6,104,Alterraun Verner,Titans,DB,UCLA
4,7,105,Trevard Lindley,Eagles,DB,Kentucky
4,8,106,Bruce Campbell,Raiders,T,Maryland
4,9,107,Marcus Easley,Bills,WR,Connecticut
4,10,108,Jacoby Ford,Raiders,WR,Clemson
4,11,109,Corey Wootton,Bears,DE,Northwestern
4,12,110,Darrell Stuckey,Chargers,DB,Kansas
4,13,111,Walter Thurmond,Seahawks,DB,Oregon
4,14,112,Joe McKnight,Jets,RB,USC
4,15,113,Aaron Hernandez,Patriots,TE,Florida
4,16,114,Dennis Pitta,Ravens,TE,Brigham Young
4,17,115,Phillip Dillard,Giants,LB,Nebraska
4,18,116,Thaddeus Gibson,Steelers,LB,Ohio State
4,19,117,Joseph Hawley,Falcons,G,UNLV
4,20,118,Garrett Graham,Texans,TE,Wisconsin
4,21,119,A.J. Edds,Dolphins,LB,Iowa
4,22,120,Geno Atkins,Bengals,DT,Georgia
4,23,121,Keenan Clayton,Eagles,LB,Oklahoma
4,24,122,Mike Kafka,Eagles,QB,Northwestern
4,25,123,Al Woods,Saints,DT,Louisiana State
4,26,124,Eric Norwood,Panthers,LB,South Carolina
4,27,125,Clay Harbor,Eagles,TE,Missouri State
4,28,126,Akwasi Owusu-Ansah,Cowboys,DB,Indiana (PA)
4,29,127,E.J. Wilson,Seahawks,DE,North Carolina
4,30,128,Jason Fox,Lions,T,Miami (FL)
4,31,129,Jacques McClendon,Colts,G,Tennessee
4,32,130,O'Brien Schofield,Cardinals,LB,Wisconsin
4,33,131,Roddrick Muckelroy,Bengals,LB,Texas
5,1,132,Mike Hoomanawanui,Rams,TE,Illinois
5,2,133,Kam Chancellor,Seahawks,DB,Virginia Tech
5,3,134,Ricky Sapp,Eagles,DE,Clemson
5,4,135,Dominique Franks,Falcons,DB,Oklahoma
5,5,136,Kendrick Lewis,Chiefs,DB,Mississippi
5,6,137,Perrish Cox,Broncos,DB,Oklahoma State
5,7,138,Walter McFadden,Raiders,DB,Auburn
5,8,139,John Conner,Jets,RB,Kentucky
5,9,140,Edward Wang,Bills,T,Virginia Tech
5,10,141,Joshua Moore,Bears,DB,Kansas State
5,11,142,Cameron Sheffield,Chiefs,LB,Troy
5,12,143,Larry Hart,Jaguars,DE,Central Arkansas
5,13,144,Sherrick McManis,Texans,DB,Northwestern
5,14,145,Nolan Carroll,Dolphins,DB,Maryland
5,15,146,Cam Thomas,Chargers,DT,North Carolina
5,16,147,Mitch Petrus,Giants,G,Arkansas
5,17,148,Robert Johnson,Titans,DB,Utah
5,18,149,Hall Davis,Rams,DE,Louisiana-Lafayette
5,19,150,Zoltan Mesko,Patriots,P,Michigan
5,20,151,Chris Scott,Steelers,G,Tennessee
5,21,152,Otis Hudson,Bengals,T,Eastern Illinois
5,22,153,Austen Lane,Jaguars,DE,Murray State
5,23,154,Andrew Quarless,Packers,TE,Penn State
5,24,155,John Skelton,Cardinals,QB,Fordham
5,25,156,David Reed,Ravens,WR,Utah
5,26,157,Arthur Jones,Ravens,DT,Syracuse
5,27,158,Matt Tennant,Saints,C,Boston College
5,28,159,Riley Cooper,Eagles,WR,Florida
5,29,160,Larry Asante,Browns,DB,Nebraska
5,30,161,Chris DeGeare,Vikings,G,Wake Forest
5,31,162,Brody Eldridge,Colts,TE,Oklahoma
5,32,163,Reshad Jones,Dolphins,DB,Georgia
5,33,164,Crezdon Butler,Steelers,DB,Clemson
5,34,165,Kerry Meier,Falcons,WR,Kansas
5,35,166,Stevenson Sylvester,Steelers,LB,Utah
5,36,167,Nathan Triplett,Vikings,LB,Minnesota
5,37,168,Jonathan Crompton,Chargers,QB,Tennessee
5,38,169,Marshall Newhouse,Packers,G,Texas Christian
6,1,170,Fendi Onobun,Rams,TE,Houston
6,2,171,Shann Schillinger,Falcons,DB,Montana
6,3,172,Brent Bowden,Buccaneers,P,Virginia Tech
6,4,173,Anthony Dixon,49ers,RB,Mississippi State
6,5,174,Dennis Morris,Redskins,TE,Louisiana Tech
6,6,175,Greg Hardy,Panthers,DE,Mississippi
6,7,176,Rusty Smith,Titans,QB,Florida Atlantic
6,8,177,Carlton Mitchell,Browns,WR,South Florida
6,9,178,Arthur Moats,Bills,LB,James Madison
6,10,179,Sam Young,Cowboys,T,Notre Dame
6,11,180,Deji Karim,Jaguars,RB,Southern Illinois
6,12,181,Dan LeFevour,Bears,QB,Central Michigan
6,13,182,Nate Byham,49ers,TE,Pittsburgh
6,14,183,Eric Olsen,Broncos,C,Notre Dame
6,15,184,Adrian Tracy,Giants,LB,William & Mary
6,16,185,Anthony McCoy,Seahawks,TE,USC
6,17,186,Clifton Geathers,Browns,DE,South Carolina
6,18,187,Shelley Smith,Texans,G,Colorado State
6,19,188,Jonathan Dwyer,Steelers,RB,Georgia Tech
6,20,189,Eugene Sims,Rams,DE,West Texas A&M
6,21,190,Travis Goethel,Raiders,LB,Arizona State
6,22,191,Dezmon Briscoe,Bengals,WR,Kansas
6,23,192,Dan Batten,Bills,DE,South Dakota State
6,24,193,James Stark,Packers,RB,Buffalo
6,25,194,Ramon Harewood,Ravens,T,Morehouse (GA)
6,26,195,Antonio Brown,Steelers,WR,Central Michigan
6,27,196,Jamar Wall,Cowboys,DB,Texas Tech
6,28,197,Trindon Holliday,Texans,RB,Louisiana State
6,29,198,David Gettis,Panthers,WR,Baylor
6,30,199,Joe Webb,Vikings,QB,Alabama-Birmingham
6,31,200,Charles Scott,Eagles,RB,Louisiana State
6,32,201,Jorrick Calvin,Cardinals,DB,Troy
6,33,202,Jordon Pugh,Panthers,DB,Texas A&M
6,34,203,Scotty McGee,Jaguars,DB,James Madison
6,35,204,Tony Pike,Panthers,QB,Cincinnati
6,36,205,Ted Larsen,Patriots,C,North Carolina State
6,37,206,Kyle Williams,49ers,WR,Arizona State
6,38,207,Myron Rolle,Titans,DB,Florida State
7,1,208,Thomas Welch,Patriots,T,Vanderbilt
7,2,209,Levi Brown,Bills,QB,Troy
7,3,210,Cody Grim,Buccaneers,DB,Virginia Tech
7,4,211,Marquis Johnson,Rams,DB,Alabama
7,5,212,Chris McCoy,Dolphins,LB,Middle Tennessee State
7,6,213,Willie Young,Lions,DE,North Carolina State
7,7,214,Mickey Shuler,Vikings,TE,Penn State
7,8,215,Jeremy Ware,Raiders,DB,Michigan State
7,9,216,Kyle Calloway,Bills,T,Iowa
7,10,217,Dekoda Watson,Buccaneers,LB,Florida State
7,11,218,J'marcus Webb,Bears,T,West Texas State
7,12,219,Terrence Austin,Redskins,WR,UCLA
7,13,220,Jamar Chaney,Eagles,LB,Mississippi State
7,14,221,Matt Dodge,Giants,P,East Carolina
7,15,222,Marc Mariani,Titans,WR,Montana
7,16,223,R.J. Stanford,Panthers,DB,Utah
7,17,224,Phillip Adams,49ers,DB,South Carolina State
7,18,225,Syd'Quan Thompson,Broncos,DB,California
7,19,226,George Selvie,Rams,DE,South Florida
7,20,227,Dorin Dickerson,Texans,TE,Pittsburgh
7,21,228,Reginald Stephens,Bengals,G,Iowa State
7,22,229,Erik Cook,Redskins,G,New Mexico
7,23,230,C.J. Wilson,Packers,DE,East Carolina
7,24,231,Selvish Capers,Redskins,T,West Virginia
7,25,232,Jammie Kirlew,Broncos,DE,Indiana
7,26,233,Jim Dray,Cardinals,TE,Stanford
7,27,234,Sean Lissemore,Cowboys,DT,William & Mary
7,28,235,Dedrick Epps,Chargers,TE,Miami (FL)
7,29,236,Dexter Davis,Seahawks,LB,Arizona
7,30,237,Ryan D'Imperio,Vikings,LB,Rutgers
7,31,238,Ricardo Mathews,Colts,DT,Cincinnati
7,32,239,Sean Canfield,Saints,QB,Oregon State
7,33,240,Kavell Conner,Colts,LB,Clemson
7,34,241,David Howard,Titans,DT,Brown
7,35,242,Doug Worthington,Steelers,DE,Ohio State
7,36,243,Jeffrey Owens,Eagles,DT,Georgia
7,37,244,Kurt Coleman,Eagles,DB,Ohio State
7,38,245,Jameson Konz,Seahawks,RB,Kent State
7,39,246,Ray Fisher,Colts,DB,Indiana
7,40,247,Brandon Deaderick,Patriots,LB,Alabama
7,41,248,Kade Weston,Patriots,DE,Georgia
7,42,249,Robert McLain,Panthers,DB,Connecticut
7,43,250,Zac Robinson,Patriots,QB,Oklahoma State
7,44,251,Stevie Brown,Raiders,DB,Michigan
7,45,252,Austin Spitler,Dolphins,LB,Ohio State
7,46,253,Erik Lorig,Buccaneers,DE,Stanford
7,47,254,Josh Hull,Rams,LB,Penn State
7,48,255,Timothy Toone,Lions,WR,Weber State
