Round,Pick,Player,Name,Team,Position,College
1,1,1,Sam Bradford,Rams,QB,Oklahoma
1,2,2,Ndamukong Suh,Lions,DT,Nebraska
1,3,3,Gerald McCoy,Buccaneers,DT,Oklahoma
1,4,4,Trent Williams,Redskins,T,Oklahoma
1,5,5,Eric Berry,Chiefs,DB,Tennessee
1,6,6,Russell Okung,Seahawks,T,Oklahoma State
1,7,7,Joe Haden,Browns,DB,Florida
1,8,8,Rolando McClain,Raiders,LB,Alabama
1,9,9,C.J. Spiller,Bills,RB,Clemson
1,10,10,Tyson Alualu,Jaguars,DE,California
1,11,11,Anthony Davis,49ers,T,Rutgers
1,12,12,Ryan Mathews,Chargers,RB,Fresno State
1,13,13,Brandon Graham,Eagles,LB,Michigan
1,14,14,Earl Thomas,Seahawks,DB,Texas
1,15,15,Jason Pierre-Paul,Giants,DE,South Florida
1,16,16,Derrick Morgan,Titans,DE,Georgia Tech
1,17,17,Mike Iupati,49ers,G,Idaho
1,18,18,Maurkice Pouncey,Steelers,C,Florida
1,19,19,Sean Weatherspoon,Falcons,LB,Missouri
1,20,20,Kareem Jackson,Texans,DB,Alabama
1,21,21,Jermaine Gresham,Bengals,TE,Oklahoma
1,22,22,Demaryius Thomas,Broncos,WR,Georgia Tech
1,23,23,Bryan Bulaga,Packers,T,Iowa
1,24,24,Dez Bryant,Cowboys,WR,Oklahoma State
1,25,25,Tim Tebow,Broncos,QB,Florida
1,26,26,Dan Williams,Cardinals,DT,Tennessee
1,27,27,Devin McCourty,Patriots,DB,Rutgers
1,28,28,Jared Odrick,Dolphins,DT,Penn State
1,29,29,Kyle Wilson,Jets,DB,Boise State
1,30,30,Jahvid Best,Lions,RB,California
1,31,31,Jerry Hughes,Colts,LB,Texas Christian
1,32,32,Patrick Robinson,Saints,DB,Florida State
2,1,33,Rodger Saffold,Rams,T,Indiana
2,2,34,Chris Cook,Vikings,DB,Virginia
2,3,35,Brian Price,Buccaneers,DT,UCLA
2,4,36,Dexter McCluster,Chiefs,RB,Mississippi
2,5,37,Nate Allen,Eagles,DB,South Florida
2,6,38,T.J. Ward,Browns,DB,Oregon
2,7,39,Arrelious Benn,Buccaneers,WR,Illinois
2,8,40,Koa Misi,Dolphins,LB,Utah
2,9,41,Torrell Troup,Bills,DT,Central Florida
2,10,42,Rob Gronkowski,Patriots,TE,Arizona
2,11,43,Sergio Kindle,Ravens,LB,Texas
2,12,44,LaMarr Houston,Raiders,DT,Texas
2,13,45,Zane Beadles,Broncos,G,Utah
