Round,Pick,Player,Name,Team,Position,College
1,1,1,Jake Long,Dolphins,T,Michigan
1,2,2,Chris Long,Rams,DE,Virginia
1,3,3,Matt Ryan,Falcons,QB,Boston College
1,4,4,Darren McFadden,Raiders,RB,Arkansas
1,5,5,Glenn Dorsey,Chiefs,DT,Louisiana State
1,6,6,Vernon Gholston,Jets,DE,Ohio State
1,7,7,Sedrick Ellis,Saints,DT,USC
1,8,8,Derrick Harvey,Jaguars,DE,Florida
1,9,9,Keith Rivers,Bengals,LB,USC
1,10,10,Jerod Mayo,Patriots,LB,Tennessee
1,11,11,Leotis McKelvin,Bills,DB,Troy
1,12,12,Ryan Clady,Broncos,T,Boise State
1,13,13,Jonathan Stewart,Panthers,RB,Oregon
1,14,14,Chris Williams,Bears,T,Vanderbilt
1,15,15,Branden Albert,Chiefs,G,Virginia
1,16,16,Dominique Rodgers-Cromartie,Cardinals,DB,Tennessee State
1,17,17,Gosder Cherilus,Lions,T,Boston College
1,18,18,Joe Flacco,Ravens,QB,Delaware
1,19,19,Jeff Otah,Panthers,T,Pittsburgh
1,20,20,Aqib Talib,Buccaneers,DB,Kansas
1,21,21,Sam Baker,Falcons,T,USC
1,22,22,Felix Jones,Cowboys,RB,Arkansas
1,23,23,Rashard Mendenhall,Steelers,RB,Illinois
1,24,24,Chris Johnson,Titans,RB,East Carolina
1,25,25,Mike Jenkins,Cowboys,DB,South Florida
1,26,26,Duane Brown,Texans,T,Virginia Tech
1,27,27,Antoine Cason,Chargers,DB,Arizona
1,28,28,Lawrence Jackson,Seahawks,DE,USC
1,29,29,Kentwan Ballmer,49ers,DT,North Carolina
1,30,30,Dustin Keller,Jets,TE,Purdue
1,31,31,Kenny Phillips,Giants,DB,Miami (FL)
2,1,32,Phillip Merling,Dolphins,DE,Clemson
2,2,33,Donnie Avery,Rams,WR,Houston
2,3,34,Devin Thomas,Redskins,WR,Michigan State
2,4,35,Brandon Flowers,Chiefs,DB,Virginia Tech
2,5,36,Jordy Nelson,Packers,WR,Kansas State
2,6,37,Curtis Lofton,Falcons,LB,Oklahoma
2,7,38,John Carlson,Seahawks,TE,Notre Dame
2,8,39,Chilo Rachal,49ers,G,USC
2,9,40,Tracy Porter,Saints,DB,Indiana
2,10,41,James Hardy,Bills,WR,Indiana
2,11,42,Eddie Royal,Broncos,WR,Virginia Tech
2,12,43,Tyrell Johnson,Vikings,DB,Arkansas State
2,13,44,Matt Forte,Bears,RB,Tulane
2,14,45,Jordon Dizon,Lions,LB,Colorado
2,15,46,Jerome Simpson,Bengals,WR,Coastal Carolina
2,16,47,Trevor Laws,Eagles,DT,Notre Dame
2,17,48,Fred Davis,Redskins,TE,USC
2,18,49,DeSean Jackson,Eagles,WR,California
2,19,50,Calais Campbell,Cardinals,DE,Miami (FL)
2,20,51,Malcolm Kelly,Redskins,WR,Oklahoma
2,21,52,Quentin Groves,Jaguars,DE,Auburn
2,22,53,Limas Sweed,Steelers,WR,Texas
2,23,54,Jason Jones,Titans,DE,Eastern Michigan
2,24,55,Ray Rice,Ravens,RB,Rutgers
2,25,56,Brian Brohm,Packers,QB,Louisville
2,26,57,Chad Henne,Dolphins,QB,Michigan
2,27,58,Dexter Jackson,Buccaneers,WR,Appalachian State
2,28,59,Mike Pollak,Colts,C,Arizona State
2,29,60,Patrick Lee,Packers,DB,Auburn
2,30,61,Martellus Bennett,Cowboys,TE,Texas A&M
2,31,62,Terrence Wheatley,Patriots,DB,Colorado
2,32,63,Terrell Thomas,Giants,DB,USC
3,1,64,Kevin Smith,Lions,RB,Central Florida
3,2,65,John Greco,Rams,T,Toledo
3,3,66,Kendall Langford,Dolphins,DE,Hampton
3,4,67,Charles Godfrey,Panthers,DB,Iowa
3,5,68,Chevis Jackson,Falcons,DB,Louisiana State
3,6,69,Jacob Hester,Chargers,RB,Louisiana State
3,7,70,Earl Bennett,Bears,WR,Vanderbilt
3,8,71,Tavares Gooden,Ravens,LB,Miami (FL)
3,9,72,Chris Ellis,Bills,DE,Virginia Tech
3,10,73,Jamaal Charles,Chiefs,RB,Texas
3,11,74,Dan Connor,Panthers,LB,Penn State
3,12,75,Reggie Smith,49ers,DB,Oklahoma
