Team,Wins,Losses,Draws,Win %
Packers,15,1,0,938
Saints,13,3,0,813
49ers,13,3,0,813
Patriots,13,3,0,813
Ravens,12,4,0,750
Steelers,12,4,0,750
Texans,10,6,0,625
Lions,10,6,0,625
Falcons,10,6,0,625
Bengals,9,7,0,563
Titans,9,7,0,563
Giants,9,7,0,563
Eagles,8,8,0,500
Chargers,8,8,0,500
Cowboys,8,8,0,500
Jets,8,8,0,500
Bears,8,8,0,500
Cardinals,8,8,0,500
Raiders,8,8,0,500
Broncos,8,8,0,500
Seahawks,7,9,0,438
Chiefs,7,9,0,438
Dolphins,6,10,0,375
Panthers,6,10,0,375
Bills,6,10,0,375
Redskins,5,11,0,313
Jaguars,5,11,0,313
Browns,4,12,0,250
Buccaneers,4,12,0,250
Vikings,3,13,0,188
Colts,2,14,0,125
Rams,2,14,0,125
