Team,Wins,Losses,Draws,Win %
Patriots,14,2,0,875
Falcons,13,3,0,813
Steelers,12,4,0,750
Ravens,12,4,0,750
Saints,11,5,0,688
Jets,11,5,0,688
Bears,11,5,0,688
Packers,10,6,0,625
Eagles,10,6,0,625
Colts,10,6,0,625
Giants,10,6,0,625
Chiefs,10,6,0,625
Buccaneers,10,6,0,625
Chargers,9,7,0,563
Raiders,8,8,0,500
Jaguars,8,8,0,500
Rams,7,9,0,438
Dolphins,7,9,0,438
Seahawks,7,9,0,438
Titans,6,10,0,375
Lions,6,10,0,375
Texans,6,10,0,375
49ers,6,10,0,375
Cowboys,6,10,0,375
Vikings,6,10,0,375
Redskins,6,10,0,375
Browns,5,11,0,313
Cardinals,5,11,0,313
Bengals,4,12,0,250
Broncos,4,12,0,250
Bills,4,12,0,250
Panthers,2,14,0,125
