Team,Wins,Losses,Draws,Win %
Patriots,12,4,0,750
Seahawks,12,4,0,750
Packers,12,4,0,750
Broncos,12,4,0,750
Cowboys,12,4,0,750
Colts,11,5,0,688
Steelers,11,5,0,688
Lions,11,5,0,688
Cardinals,11,5,0,688
Bengals,10,5,1,656
Ravens,10,6,0,625
Eagles,10,6,0,625
Chiefs,9,7,0,563
Texans,9,7,0,563
Bills,9,7,0,563
Chargers,9,7,0,563
Dolphins,8,8,0,500
49ers,8,8,0,500
Panthers,7,8,1,469
Vikings,7,9,0,438
Saints,7,9,0,438
Browns,7,9,0,438
Giants,6,10,0,375
Rams,6,10,0,375
Falcons,6,10,0,375
Bears,5,11,0,313
Jets,4,12,0,250
Redskins,4,12,0,250
Jaguars,3,13,0,188
Raiders,3,13,0,188
Buccaneers,2,14,0,125
Titans,2,14,0,125
