Round,Pick,Player,Name,Team,Position,College
1,1,1,Matthew Stafford,Lions,QB,Georgia
1,2,2,Jason Smith,Rams,T,Baylor
1,3,3,Tyson Jackson,Chiefs,DE,Louisiana State
1,4,4,Aaron Curry,Seahawks,LB,Wake Forest
1,5,5,Mark Sanchez,Jets,QB,USC
1,6,6,Andre Smith,Bengals,T,Alabama
1,7,7,Darrius Heyward-Bey,Raiders,WR,Maryland
1,8,8,Eugene Monroe,Jaguars,T,Virginia
1,9,9,B.J. Raji,Packers,DT,Boston College
1,10,10,Michael Crabtree,49ers,WR,Texas Tech
1,11,11,Aaron Maybin,Bills,DE,Penn State
1,12,12,Knowshon Moreno,Broncos,RB,Georgia
1,13,13,Brian Orakpo,Redskins,LB,Texas
1,14,14,Malcolm Jenkins,Saints,DB,Ohio State
1,15,15,Brian Cushing,Texans,LB,USC
1,16,16,Larry English,Chargers,LB,Northern Illinois
1,17,17,Josh Freeman,Buccaneers,QB,Kansas State
1,18,18,Robert Ayers,Broncos,DE,Tennessee
1,19,19,Jeremy Maclin,Eagles,WR,Missouri
1,20,20,Brandon Pettigrew,Lions,TE,Oklahoma State
1,21,21,Alex Mack,Browns,C,California
1,22,22,Percy Harvin,Vikings,WR,Florida
1,23,23,Michael Oher,Ravens,T,Mississippi
1,24,24,Peria Jerry,Falcons,DT,Mississippi
1,25,25,Vontae Davis,Dolphins,DB,Illinois
1,26,26,Clay Matthews,Packers,LB,USC
1,27,27,Donald Brown,Colts,RB,Connecticut
1,28,28,Eric Wood,Bills,C,Louisville
1,29,29,Hakeem Nicks,Giants,WR,North Carolina
1,30,30,Kenny Britt,Titans,WR,Rutgers
1,31,31,Beanie Wells,Cardinals,RB,Ohio State
1,32,32,Ziggy Hood,Steelers,DT,Missouri
2,1,33,Louis Delmas,Lions,DB,Western Michigan
2,2,34,Patrick Chung,Patriots,DB,Oregon
2,3,35,James Laurinaitis,Rams,LB,Ohio State
2,4,36,Brian Robiskie,Browns,WR,Ohio State
2,5,37,Alphonso Smith,Broncos,DB,Wake Forest
2,6,38,Rey Maualuga,Bengals,LB,USC
2,7,39,Eben Britton,Jaguars,T,Arizona
2,8,40,Ron Brace,Patriots,DT,Boston College
