Round,Pick,Player,Name,Team,Position,College
2,9,41,Darius Butler,Patriots,DB,Connecticut
2,10,42,Jairus Byrd,Bills,DB,Oregon
2,11,43,Everette Brown,Panthers,DE,Florida State
2,12,44,Pat White,Dolphins,QB,West Virginia
2,13,45,Clint Sintim,Giants,LB,Virginia
2,14,46,Connor Barwin,Texans,DE,Cincinnati
2,15,47,Michael Mitchell,Raiders,DB,Ohio
2,16,48,Darcel McBath,Broncos,DB,Texas Tech
2,17,49,Max Unger,Seahawks,C,Oregon
2,18,50,Mohamed Massaquoi,Browns,WR,Georgia
2,19,51,Andy Levitre,Bills,G,Oregon State
2,20,52,David Veikune,Browns,DE,Hawaii
2,21,53,LeSean McCoy,Eagles,RB,Pittsburgh
2,22,54,Phil Loadholt,Vikings,T,Oklahoma
2,23,55,William Moore,Falcons,DB,Missouri
2,24,56,Fili Moala,Colts,DT,USC
2,25,57,Paul Kruger,Ravens,DE,Utah
2,26,58,Sebastian Vollmer,Patriots,T,Houston
2,27,59,Sherrod Martin,Panthers,DB,Troy
2,28,60,William Beatty,Giants,T,Connecticut
2,29,61,Sean Smith,Dolphins,DB,Utah
2,30,62,Sen'Derrick Marks,Titans,DT,Auburn
2,31,63,Cody Brown,Cardinals,LB,Connecticut
2,32,64,Richard Quinn,Broncos,TE,North Carolina
3,1,65,Shonn Greene,Jets,RB,Iowa
3,2,66,Bradley Fletcher,Rams,DB,Iowa
3,3,67,Alex Magee,Chiefs,DT,Purdue
3,4,68,Jarron Gilbert,Bears,DE,San Jose State
3,5,69,Jason Williams,Cowboys,LB,Western Illinois
3,6,70,Michael Johnson,Bengals,DE,Georgia Tech
3,7,71,Matt Shaughnessy,Raiders,DE,Wisconsin
3,8,72,Terrance Knighton,Jaguars,DT,Temple
3,9,73,Derek Cox,Jaguars,DB,William & Mary
3,10,74,Glen Coffee,49ers,RB,Alabama
3,11,75,Robert Brewster,Cowboys,T,Ball State
3,12,76,DeAndre Levy,Lions,LB,Wisconsin
3,13,77,Antoine Caldwell,Texans,C,Alabama
3,14,78,Louis Vasquez,Chargers,G,Texas Tech
3,15,79,Kraig Urbik,Steelers,T,Wisconsin
3,16,80,Kevin Barnes,Redskins,DB,Maryland
3,17,81,Roy Miller,Buccaneers,DT,Texas
3,18,82,Derrick Williams,Lions,WR,Penn State
3,19,83,Brandon Tate,Patriots,WR,North Carolina
3,20,84,Mike Wallace,Steelers,WR,Mississippi
3,21,85,Ramses Barden,Giants,WR,Cal Poly
3,22,86,Asher Allen,Vikings,DB,Georgia
3,23,87,Patrick Turner,Dolphins,WR,USC
3,24,88,Lardarius Webb,Ravens,DB,Nicholls State
3,25,89,Jared Cook,Titans,TE,South Carolina
3,26,90,Christopher Owens,Falcons,DB,San Jose State
3,27,91,Deon Butler,Seahawks,WR,Penn State
3,28,92,Jerraud Powers,Colts,DB,Auburn
3,29,93,Corvey Irvin,Panthers,DT,Georgia
3,30,94,Ryan Mouton,Titans,DB,Hawaii
3,31,95,Rashad Johnson,Cardinals,DB,Alabama
3,32,96,Keenan Lewis,Steelers,DB,Oregon State
3,33,97,Tyrone McKenzie,Patriots,LB,South Florida
3,34,98,Chase Coffman,Bengals,TE,Missouri
3,35,99,Juaquin Iglesias,Bears,WR,Oklahoma
3,36,100,Travis Beckum,Giants,TE,Wisconsin
4,1,101,Stephen McGee,Cowboys,QB,Texas A&M
4,2,102,Donald Washington,Chiefs,DB,Ohio State
4,3,103,Dorell Scott,Rams,DT,Clemson
4,4,104,Kaluka Maiava,Browns,LB,USC
4,5,105,Henry Melton,Bears,DE,Texas
4,6,106,Jonathan Luigs,Bengals,C,Arkansas
4,7,107,Mike Thomas,Jaguars,WR,Arizona
4,8,108,Brian Hartline,Dolphins,WR,Ohio State
4,9,109,T.J. Lang,Packers,T,Eastern Michigan
4,10,110,Victor Butler,Cowboys,DE,Oregon State
4,11,111,Mike Goodson,Panthers,RB,Texas A&M
4,12,112,Glover Quin,Texans,DB,New Mexico
4,13,113,Vaughn Martin,Chargers,DT,Western Ontario
4,14,114,David Bruton,Broncos,DB,Notre Dame
4,15,115,Sammie Lee Hill,Lions,DT,Stillman
4,16,116,Chip Vaughn,Saints,DB,Wake Forest
4,17,117,Kyle Moore,Buccaneers,DE,USC
4,18,118,Stanley Arnoux,Saints,LB,Wake Forest
4,19,119,D.J. Moore,Bears,DB,Vanderbilt
4,20,120,Brandon Williams,Cowboys,DE,Texas Tech
4,21,121,Shawn Nelson,Bills,TE,Southern Mississippi
4,22,122,Anthony Hill,Texans,TE,North Carolina State
4,23,123,Rich Ohrnberger,Patriots,G,Penn State
4,24,124,Louis Murphy,Raiders,WR,Florida
4,25,125,Lawrence Sidbury Jr.,Falcons,DE,Richmond
4,26,126,Slade Norris,Raiders,LB,Oregon State
4,27,127,Austin Collie,Colts,WR,Brigham Young
4,28,128,Tony Fiammetta,Panthers,RB,Syracuse
4,29,129,Andre Brown,Giants,RB,North Carolina State
4,30,130,Gerald McRath,Titans,LB,Southern Mississippi
4,31,131,Greg Toler,Cardinals,DB,St. Pauls
4,32,132,Seth Olsen,Broncos,G,Iowa
4,33,133,Tyronne Green,Chargers,DT,Auburn
4,34,134,Gartrell Johnson,Chargers,RB,Colorado State
4,35,135,Troy Kropog,Titans,T,Tulane
4,36,136,Terrance Taylor,Colts,DT,Michigan
5,1,137,Jason Phillips,Ravens,LB,Texas Christian
5,2,138,William Middleton,Falcons,DB,Furman
5,3,139,Colin Brown,Chiefs,T,Missouri
5,4,140,Johnny Knox,Bears,WR,Abilene Christian
5,5,141,Kenny McKinley,Broncos,WR,South Carolina
5,6,142,Kevin Huber,Bengals,P,Cincinnati
5,7,143,DeAngelo Smith,Cowboys,DB,Cincinnati
5,8,144,Jarett Dillard,Jaguars,WR,Rice
5,9,145,Quinn Johnson,Packers,RB,Louisiana State
5,10,146,Scott McKillop,49ers,LB,Pittsburgh
5,11,147,Nic Harris,Bills,DB,Oklahoma
5,12,148,Brandon Hughes,Chargers,DB,Oregon State
5,13,149,Davon Drew,Ravens,TE,East Carolina
5,14,150,Jasper Brinkley,Vikings,LB,South Carolina
5,15,151,Rhett Bomar,Giants,QB,Sam Houston State
5,16,152,James Casey,Texans,TE,Rice
5,17,153,Cornelius Ingram,Eagles,TE,Florida
5,18,154,Marcus Freeman,Bears,LB,Ohio State
5,19,155,Xavier Fulton,Buccaneers,T,Illinois
5,20,156,Garrett Reynolds,Falcons,T,North Carolina
5,21,157,Victor Harris,Eagles,DB,Virginia Tech
5,22,158,Cody Glenn,Redskins,LB,Nebraska
5,23,159,Fenuki Tupou,Eagles,T,Oregon
5,24,160,Brooks Foster,Rams,WR,North Carolina
5,25,161,John Nalbone,Dolphins,TE,Monmouth
5,26,162,Jamon Meredith,Packers,T,South Carolina
5,27,163,Duke Robinson,Panthers,T,Oklahoma
5,28,164,Thomas Morstead,Saints,P,Southern Methodist
5,29,165,Chris Clemons,Dolphins,DB,Clemson
5,30,166,Michael Hamlin,Cowboys,DB,Clemson
5,31,167,Herman Johnson,Cardinals,T,Louisiana State
5,32,168,Joe Burnett,Steelers,DB,Central Florida
5,33,169,Frank Summers,Steelers,RB,UNLV
5,34,170,George Bussey,Patriots,T,Louisville
5,35,171,Nate Davis,49ers,QB,Ball State
5,36,172,David Buehler,Cowboys,K,USC
5,37,173,Javon Ringer,Titans,RB,Michigan State
6,1,174,Tom Brandstater,Broncos,QB,Fresno State
6,2,175,Quinten Lawrence,Chiefs,WR,McNeese State
6,3,176,Spencer Adkins,Falcons,LB,Miami (FL)
6,4,177,Don Carey,Browns,DB,Norfolk State
6,5,178,Mike Teel,Seahawks,QB,Rutgers
6,6,179,Morgan Trent,Bengals,DB,Michigan
6,7,180,Zach Miller,Jaguars,TE,Nebraska-Omaha
6,8,181,Andrew Gardner,Dolphins,T,Georgia Tech
6,9,182,Jarius Wynn,Packers,DE,Georgia
6,10,183,Cary Harris,Bills,DB,USC
6,11,184,Bear Pascoe,49ers,TE,Fresno State
6,12,185,Cedric Peerman,Ravens,RB,Virginia
6,13,186,Robert Henson,Redskins,LB,Texas Christian
6,14,187,Brandon Underwood,Packers,DB,Cincinnati
6,15,188,Brice McCain,Texans,DB,Utah
6,16,189,Kevin Ellison,Chargers,DB,USC
6,17,190,Al Afalava,Bears,DB,Oregon State
6,18,191,Coye Francies,Browns,DB,San Jose State
6,19,192,Aaron Brown,Lions,RB,Texas Christian
6,20,193,Matt Slauson,Jets,G,Nebraska
6,21,194,Brandon Gibson,Eagles,WR,Washington State
6,22,195,James Davis,Browns,RB,Clemson
6,23,196,Keith Null,Rams,QB,West Texas A&M
6,24,197,Stephen Hodge,Cowboys,DB,Texas Christian
6,25,198,Jake Ingram,Patriots,C,Hawaii
6,26,199,Stryker Sulak,Raiders,DE,Missouri
6,27,200,DeAndre Wright,Giants,DB,New Mexico
6,28,201,Curtis Painter,Colts,QB,Purdue
6,29,202,Brandon Myers,Raiders,TE,Iowa
6,30,203,Jason McCourty,Titans,DB,Rutgers
6,31,204,Will Davis,Cardinals,DE,Illinois
6,32,205,Ra'Shon Harris,Steelers,DT,Oregon
6,33,206,Dominique Edison,Titans,WR,Stephen F. Austin
6,34,207,Myron Pryor,Patriots,DT,Kentucky
6,35,208,John Phillips,Cowboys,TE,Virginia
6,36,209,Bernard Scott,Bengals,RB,Abilene Christian
7,1,210,Vance Walker,Falcons,DT,Georgia Tech
7,2,211,Chris Ogbonnaya,Rams,RB,Texas
7,3,212,Javarris Williams,Chiefs,RB,Tennessee State
7,4,213,Paul Fanaika,Eagles,G,Arizona State
7,5,214,J.D. Folsom,Dolphins,LB,Weber State
7,6,215,Fui Vakapuna,Bengals,RB,Brigham Young
7,7,216,Captain Munnerlyn,Panthers,DB,South Carolina
7,8,217,E.J. Biggers,Buccaneers,DB,Western Michigan
7,9,218,Brad Jones,Packers,LB,Colorado
7,10,219,Curtis Taylor,49ers,DB,Louisiana State
7,11,220,Ellis Lankster,Bills,DB,West Virginia
7,12,221,Eddie Williams,Redskins,TE,Idaho
7,13,222,Pat McAfee,Colts,P,West Virginia
7,14,223,Troy Nolan,Texans,DB,Arizona State
7,15,224,Demetrius Byrd,Chargers,WR,Louisiana State
7,16,225,Blake Schlueter,Broncos,C,Texas Christian
7,17,226,A.Q. Shipley,Steelers,C,Penn State
7,18,227,Mike Mickens,Cowboys,DB,Cincinnati
7,19,228,Lydon Murtha,Lions,T,Nebraska
7,20,229,Manuel Johnson,Cowboys,WR,Oklahoma
7,21,230,Moise Fokou,Eagles,LB,Maryland
7,22,231,Jamarca Sanford,Vikings,DB,Mississippi
7,23,232,Julian Edelman,Patriots,QB,Kent State
7,24,233,Sammie Stroughter,Buccaneers,WR,Oregon State
7,25,234,Darryl Richard,Patriots,DT,Georgia Tech
7,26,235,Zack Follett,Lions,LB,California
7,27,236,Jaimie Thomas,Colts,T,Maryland
7,28,237,Jake O'Connell,Chiefs,TE,Miami (OH)
7,29,238,Stoney Woodson,Giants,DB,South Carolina
7,30,239,Ryan Durand,Titans,G,Syracuse
7,31,240,LaRod Stephens-Howling,Cardinals,RB,Pittsburgh
7,32,241,David Johnson,Steelers,TE,Arkansas State
7,33,242,Nick Schommer,Titans,DB,North Dakota State
7,34,243,Marko Mitchell,Redskins,WR,Nevada
7,35,244,Ricky Jean Francois,49ers,DT,Louisiana State
7,36,245,Courtney Greene,Seahawks,DB,Rutgers
7,37,246,Lance Louis,Bears,G,San Diego State
7,38,247,Nick Reed,Seahawks,DE,Oregon
7,39,248,Cameron Morrah,Seahawks,TE,California
7,40,249,Clinton McDonald,Bengals,DE,Memphis
7,41,250,Rashad Jennings,Jaguars,RB,Liberty
7,42,251,Derek Kinder,Bears,WR,Pittsburgh
7,43,252,Freddie Brown,Bengals,WR,Utah
7,44,253,Tiquan Underwood,Jaguars,WR,Rutgers
7,45,254,Trevor Canfield,Cardinals,G,Cincinnati
7,46,255,Dan Gronkowski,Lions,TE,Maryland
7,47,256,Ryan Succop,Chiefs,K,South Carolina
